case,restaurant,price,gReviews,gRating,ddReviews,ddRating,ddFee,yReviews,yRating,latitude,longitude,town
56,No.1 Chinese,2,159,4.1,0,0,0,48,3.5,42.9735284,-71.4639595,Manchester
58,Pho Golden Bowl,2,392,4.5,0,0,0,90,4,42.9873522,-71.4626046,Manchester
62,Ubon Thai,2,133,4.8,0,0,0,42,4.5,42.9938922,-71.5060463,Manchester
63,Yee Dynasty,2,598,3.6,0,0,0,65,2.5,42.9641667,-71.4438889,Manchester
64,Yuki Japanese,2,421,4.3,0,0,0,138,4,42.9661651,-71.4525056,Manchester
67,Hana Japanese,3,82,4.8,0,0,0,39,4.5,42.8373447,-71.4990912,Merrimack
68,Sweet Ginger,2,377,4.5,0,0,0,265,4,42.8375833,-71.4976514,Merrimack
69,Xing Wang 888,1,148,4.2,0,0,0,57,4,42.8054337,-71.5453892,Merrimack
73,Lilac Blossom,2,591,4.3,0,0,0,103,3.5,42.7074361,-71.4677518,Nashua
74,Mint Café,1,373,4.2,0,0,0,45,3.5,42.7644679,-71.4639386,Nashua
78,Sakura Asian,2,464,4.5,0,0,0,95,3.5,42.7199811,-71.4416392,Nashua
79,San Francisco,2,264,4.2,0,0,0,83,3.5,42.7616508,-71.4658753,Nashua
87,YouYou Japanese,2,465,4.5,0,0,0,133,3.5,42.7674229,-71.4947409,Nashua
88,Mei's,2,116,3.7,0,0,0,46,3.5,43.1308592,-71.4526561,Pembroke
89,Asian Taste,1,76,4.4,0,0,0,21,4,43.2672248,-71.5874722,Penacook
90,Chang Long,1,93,4.1,0,0,0,51,4,42.8495431,-71.1049768,Plaistow
91,Sushi Time,2,542,4.7,0,0,0,112,4,42.8167799,-71.1016661,Plaistow
92,Lucky Dragon,1,231,3.9,0,0,0,37,2.5,42.7544518,-71.2078003,Salem
94,New Chief Wok,2,174,4.4,0,0,0,53,3.5,42.7897235,-71.2337099,Salem
97,TOMO Japanese,2,848,4.5,0,0,0,201,4,42.7514172,-71.2062622,Salem
98,Umi of Japan,1,26,3.5,0,0,0,16,2,42.7673911,-71.2321917,Salem
100,Yang Ming,2,517,4.4,0,0,0,165,4,42.7542287,-71.2073714,Salem
102,Li's Asian Gourmet,2,40,4.2,0,0,0,25,2.5,42.7924735,-71.3047589,Windham
60,Thai Food Connection,3,79,4.8,15,5,0.99,25,4.5,42.9932866,-71.4628567,Manchester
46,Gurung's Kitchen,2,30,4.9,62,4.6,0,6,5,43.0066747,-71.4614555,Manchester
83,Thailand Express,2,44,3.4,88,4.8,0.99,4,3,42.7010792,-71.436646,Nashua
95,Thai Chili,2,189,4.4,98,4.9,1.99,108,3.5,42.7454184,-71.2007923,Salem
59,Ruby Thai,2,31,3.4,150,4.3,2.99,12,2.5,42.9564947,-71.4319032,Manchester
93,Mei Hoo,1,165,3.9,150,4.4,4.99,32,3,42.7859962,-71.2329778,Salem
35,Asian Kabab,1,87,4.5,152,4.5,0.99,42,4.5,42.9830374,-71.4402314,Manchester
71,Crane Restaurant,2,260,4.3,172,4.6,3.99,76,3.5,42.7598034,-71.4668628,Nashua
82,Takumi Sushi,2,842,4.4,200,4.6,1.99,186,3.5,42.7164931,-71.4431831,Nashua
